price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
1.75 Crore,6.9,Marla,Islamabad,"Bahria Enclave Islamabad 
Sector A...more",House,Bathrooms: 2,Dining Room,2022,1,,1,1,,https://www.zameen.com/Property/bahria_enclave_cube_apartments_bahria_enclave_sector_a_two_bedroom_1_558_sqft_cube_apartment_for_sale_indoor_car_parking_close_to_main_gate-54340111-21520-1.html
7.5 Crore,1,Kanal,Islamabad,,House,7,Servant Quarters: 1,2025,3,1,2,2,,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_e_1_kanal_brand_new_double_unit_house_for_sale_7_bedrooms_near_to_imarat_mall-52419152-3495-1.html
1.2 Crore,2.6,Marla,Islamabad,"Kazani Heights, Islamabad Expressway112.6 Marla",House,1,Kitchens: 1,2022,1,,,1,,https://www.zameen.com/Property/islamabad_expressway_kazani_heights_rented_1_bed_furnished_flat_for_sale_in_kazani_heights-54255711-13445-1.html
15 Crore,1,Kanal,Islamabad,G-13,House,Bathrooms: 6,Servant Quarters: 2,2026,4,2,2,7,,https://www.zameen.com/Property/islamabad_g-13_g13_1_kanal_designer_house_for_sale-54334032-330-1.html
62 Lakh,2,Marla,Islamabad,,House,Bathrooms: 1,Servant Quarters: 1,2026,2,1,1,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_beautiful_luxury_one_bed_bed_apartment_for_sale-53939128-11982-1.html
3.1 Crore,5.6,Marla,Islamabad,"Faisal Town - F-18, Islamabad565.6 Marla",House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,2,,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_5_marla_luxury_house_for_sale-53916182-8260-1.html
5.5 Crore,10,Marla,Islamabad,"Bahria enclave Islamabad. 
This bea...more",House,Bathrooms: 6,Servant Quarters: 1,2025,2,1,1,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_10_marla_modern_house_available_for_sale_in_bahria_enclave_islamabad-54338702-11970-1.html
4.9 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 2,2024,50,2,2,2,,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_house_for_sale-53253246-1383-1.html
42 Crore,1.8,Kanal,Islamabad,"F-7, Islamabad661.8 Kanal",House,Bathrooms: 6,Servant Quarters: 2,,6,2,,1,,https://www.zameen.com/Property/islamabad_f-7_prime_location_house_available_for_sale_in_f7-50602964-165-1.html
90 Crore,3.6,Kanal,Islamabad,"F-7, Islamabad83.6 Kanal",House,Bathrooms: 9,Servant Quarters: 2,2020,8,2,2,1,,https://www.zameen.com/Property/islamabad_f-7_prime_location_house_available_for_sale-51056465-165-1.html
5.4 Crore,12,Marla,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,2025,Double Glazed Windows,1,1,2,,https://www.zameen.com/Property/g_15_g-15_1_12_marla_40x80_aaa_quality_house_available_for_sale_in_g-15_1_islamabad-54203577-3348-1.html
3.3 Crore,5.8,Marla,Islamabad,,House,2,Servant Quarters: 1,2016,Lobby in Building,1,Steam Room,Study Room,,https://www.zameen.com/Property/f_11_executive_heights_f-11_investor_price_2_bed_apartment_available_for_sale-52617887-10658-1.html
6.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters: 2,2025,4,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_build_your_own_one_kanal_house_in_dha_islamabad_for_sale-53475417-339-1.html
1.15 Crore,5,Marla,Islamabad,,House,Community FeaturesMosque,Community FeaturesMosque,2023,Double Glazed Windows,,1,,,https://www.zameen.com/Property/pechs_pechs_-_block_k_5_marla_semi_commercial_main_road_corner_house_available_for_sale_in_pechs_near_mumtaz_city_new_airport_islamabad-52020821-9107-1.html
85 Crore,10,Kanal,Islamabad,,House,Bathrooms: 12,Servant Quarters: 2,2025,20,2,1,2,2,https://www.zameen.com/Property/gulberg_gulberg_greens_gulberg_green_luxury_farmhouse_for_sale-53397837-8312-1.html
2.75 Crore,5,Marla,Islamabad,Sector H Bahria Enclave Islamabad...more,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_house_available_for_sale_sector_h_bahria_enclave_islamabad-54321746-11983-1.html
12.8 Crore,14,Marla,Islamabad,G-13,House,Bathrooms: 8,Servant Quarters: 2,2026,2,2,2,2,,https://www.zameen.com/Property/islamabad_g-13_40_80_14_marla_brand_new_house_available_for_sale_in_g13_rent_value_5_lakh-54367001-330-1.html
3.9 Crore,8,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,1,1,1,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f1_8_marla_corner_house_structure_for_sale_in_bahria_enclave_sector_f1_beautiful_location_with_2_5_marla_extra_land-54195795-11986-1.html
38 Lakh,2.4,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/d_17_margalla_view_housing_society_corner_532_square_feet_flat_for_sale_in_rs_3800000_only-54348500-3160-1.html
1.1 Crore,6,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/d_17_margalla_view_housing_society_house_sized_6_marla_is_available_for_sale_in_margalla_view_housing_society-54348502-3160-1.html
5.4 Crore,10,Marla,Islamabad,"Bahria enclave Islamabad 
An excell...more",House,Bathrooms: 5,Servant Quarters: 1,2026,Flooring,1,Other Rooms,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f_brand_new_luxury_house_available_for_sale_in_bahria_enclave_islamabad-54366968-11985-1.html
3.9 Crore,4,Marla,Islamabad,D-12,House,Bathrooms: 4,Servant Quarters,2024,1,Drawing Room,Steam Room,1,,https://www.zameen.com/Property/islamabad_d-12_25x40_4_marla_house_available_for_sale_in_d-12-54175325-160-1.html
4.5 Crore,4,Marla,Islamabad,G-13,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,1,2,,https://www.zameen.com/Property/islamabad_g-13_25_40_4_marla_brand_new_house_available_for_sale_in_g13_rent_value_1_30_lakh-54366940-330-1.html
6.25 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,1,,,https://www.zameen.com/Property/islamabad_top_city_1_double_road_corner_brand_new_designer_luxurious_house_available-54106109-1383-1.html
11 Crore,1,Kanal,Islamabad,,House,Bathrooms: 10,Servant Quarters: 1,2026,3,1,2,3,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_one_kanal_brand_new_house_with_full_basement-54128610-9230-1.html
5.4 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,2,2,,https://www.zameen.com/Property/islamabad_top_city_1_top_city-1_block_a_beautifully_design_house_available_for_sale-54277782-1383-1.html
5.15 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_top_city-1_block_a_prime_location_beautiful_house_available_for_sale-54277975-1383-1.html
65 Lakh,2,Marla,Islamabad,Top City 1,House,Bathrooms: 7,Servant Quarters: 1,2023,Lobby in Building,1,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_a_beautiful_studio_apartment_for_sale-53897951-1383-1.html
12 Crore,1,Kanal,Islamabad,B-17,House,Bathrooms: 6,Servant Quarters,2024,1,Drawing Room,Steam Room,2,,https://www.zameen.com/Property/islamabad_b-17_1_kanal_spanish_fully_furnished_house_for_sale-53385062-616-1.html
15 Crore,1,Kanal,Islamabad,Top City 1,House,,,2024,2,,,2,,https://www.zameen.com/Property/islamabad_top_city_1_1_kanal_corner_fully_furnished_spainish_house-54336940-1383-1.html
24.5 Crore,1,Kanal,Islamabad,F-8,House,5,Servant Quarters: 2,1985,5,2,2,2,,https://www.zameen.com/Property/islamabad_f-8_corner_house_for_sale-54225598-166-1.html
4.5 Crore,10,Marla,Islamabad,Bani Gala,House,Bathrooms: 5,Servant Quarters: 1,,2,1,1,1,1,https://www.zameen.com/Property/islamabad_bani_gala_house_for_sale_bani_gala_islamabad-54301901-340-1.html
14 Crore,2,Kanal,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/kashmir_highway_eighteen_2_kanal_house_in_stunning_eighteen_is_available_for_sale-54322556-12602-1.html
75 Crore,2,Kanal,Islamabad,F-7,House,Bathrooms: 8,Servant Quarters: 2,2024,5,2,2,2,,https://www.zameen.com/Property/islamabad_f-7_margalla_road_house_available_for_sale_in_f7-52124460-165-1.html
9.5 Crore,8,Marla,Islamabad,D-12,House,Bathrooms: 6,Servant Quarters,2025,2,Drawing Room,Steam Room,2,,https://www.zameen.com/Property/islamabad_d-12_30x60_8_marla_brand_new_house_for_sale_in_d-12-53780206-160-1.html
14.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters,2026,3,Drawing Room,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_aesthetic_design_bungalow_on_prime_location_up_for_sale-54255246-339-1.html
4 Crore,4,Marla,Islamabad,Margalla Town,House,Bathrooms: 7,Servant Quarters,2026,1,Drawing Room,Steam Room,02,,https://www.zameen.com/Property/islamabad_margalla_town_triple_story_4_marla_prime_location_house_for_sale_margalla_town_orchard_road_islamabad-53825712-1028-1.html
2.6 Crore,6.5,Marla,Islamabad,"Bani Gala, Islamabad556.5 Marla",House,Bathrooms: 5,Servant Quarters: 1,2025,1,1,Lounge or Sitting Room,01,01,https://www.zameen.com/Property/islamabad_bani_gala_6_5_marla_double_story_2_5_unit_good_quality_brand_new_house_for_sale_in_bani_gala_islamabad_near_main_road_good_approach-52834544-340-1.html
6 Crore,4.9,Marla,Islamabad,,House,Bathrooms: 5,Drawing Room,2025,4,,1,03,,https://www.zameen.com/Property/margalla_town_margalla_town_phase_2_margalla_town_phase-2_islamabad_brand_new_triple_story_fully_furnished_corner_house_for_sale-53059032-9151-1.html
3 Crore,8,Marla,Islamabad,G-15,House,,,2024,Double Glazed Windows,,,1,,https://www.zameen.com/Property/islamabad_g-15_8_marla_beautiful_double_storey_house_for_sale-54202233-764-1.html
7.95 Crore,10,Marla,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,2026,,1,,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_beautiful_corner_house_for_sale-54366946-11987-1.html
2.5 Crore,5,Marla,Islamabad,Faisal Town - F-18,House,2,Servant Quarters: 1,2025,1,1,,2,,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_5_marla_luxury_house_for_sale_near_to_market_faisal_town_islamabad-54296357-8260-1.html
4.25 Crore,13,Marla,Islamabad,,House,4,Servant Quarters,,Lobby in Building,Drawing Room,1,1,,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_corner_4-bedroom_apartment_with_breathtaking_margalla_view_askari_tower_1-54319446-10663-1.html
3.3 Crore,6.2,Marla,Islamabad,,House,Bathrooms: 6,Drawing Room,,,,,,,https://www.zameen.com/Property/g_11_3_capital_heights_g-11_capital_heights_brand_new_luxury_apartments_for_sale-53196106-13256-1.html
3.55 Crore,7.4,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2024,1,1,1,2,,https://www.zameen.com/Property/g_11_3_capital_heights_g-11_capital_heights_brand-new_luxury_apartment_for_sale-53196172-13256-1.html
11.35 Crore,1,Kanal,Islamabad,,House,Bathrooms: 2,Dining Room,2025,6,,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_presenting_an_ultra-modern_masterpieces_located_in_dha_phase_2-54000991-339-1.html
12.5 Crore,2,Kanal,Islamabad,,House,,,,3,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_prime_location_1_kanal_luxurious_house_for_sale_at_dha_2-54111599-339-1.html
11.6 Crore,1,Kanal,Islamabad,,House,Bathrooms: 3,Servant Quarters: 1,2026,2,1,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_latest_design_ultra_luxurious_house_for_sale_at_dha_islamabad-54087882-339-1.html
4.75 Crore,5.4,Marla,Islamabad,"F-10, Islamabad225.4 Marla",House,Bathrooms: 2,Servant Quarters,2020,1,Drawing Room,1,1,,https://www.zameen.com/Property/islamabad_f-10_silver_oaks_luxury_apartments-54290642-162-1.html
