price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
40 Crore,1,Kanal,Islamabad,F-8,House,Bathrooms: 9,Servant Quarters: 2,2025,5,2,2,2,,https://www.zameen.com/Property/islamabad_f-8_brand_new_house_available_for_sale-53153128-166-1.html
30 Crore,2,Kanal,Islamabad,F-8,House,Bathrooms: 6,Servant Quarters: 2,2024,5,2,1,3,,https://www.zameen.com/Property/islamabad_f-8_magnificent_10-bed_residence_in_prime_f-8_location_-_cda_transfer-49706464-166-1.html
22 Crore,1,Kanal,Islamabad,F-8,House,Bathrooms: 4,Servant Quarters: 1,2024,1,1,1,1,,https://www.zameen.com/Property/islamabad_f-8_demolishable_house_available_for_sale-50149107-166-1.html
2.9 Crore,8,Marla,Islamabad,,House,,,,Flooring,,,,,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_a_8_marla_new_house_for_sale_in_a_block_faisal_town_phase-1-53667794-16416-1.html
2.8 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,,Central Air Conditioning,1,Steam Room,2,,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_5_marla_brand_new_house_for_sale_in_c_block_faisal_town_phase-1-53624340-16418-1.html
2.85 Crore,10,Marla,Islamabad,,House,Bathrooms,Servant Quarters,,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_heights_4_flat_for_sale-48203804-21450-1.html
2.5 Crore,5,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_sale_a_house_in_islamabad_prime_location-54357201-8527-1.html
59 Lakh,2.4,Marla,Islamabad,"Top City 1, IslamabadInstallmentsPKR69 Thousand/month112.4 Marla",House,1,Drawing Room,2026,Double Glazed Windows,,,,,https://www.zameen.com/Property/islamabad_top_city_1_550_square_feet_1_bed_apartment_available_for_sale_on_4_5_years_easy_instalment_plan-54309935-1383-1.html
13.5 Crore,14.2,Marla,Islamabad,"G-11, Islamabad9714.2 Marla",House,Bathrooms: 9,Servant Quarters: 1,2016,5,1,1,3,,https://www.zameen.com/Property/islamabad_g-11_luxury_triple_storey_house_40x80_for_sale_in_g-11_2_islamabad-54249820-168-1.html
1.2 Crore,5,Marla,Islamabad,Tarnol,House,,,,,,,,,https://www.zameen.com/Property/islamabad_tarnol_5_marla_25x50_residential_house_available_in_tarnol_1_crore_20_lakh-54282195-8121-1.html
35 Crore,1,Kanal,Islamabad,,House,,Drawing Room,,Flooring,,,,,https://www.zameen.com/Property/f_7_f-7_2_house_in_f-7_islamabad_prime_location_best_investment-54287738-3308-1.html
5.2 Crore,7.8,Marla,Islamabad,,House,3,Drawing Room,2025,1,,,1,,https://www.zameen.com/Property/g_11_1_11_central_apartments_hot_deal_3_bedroom_open_view_luxury_apartment_for_sale_in_11_central_g-11_1_islamabad_prime_location-54321663-22037-1.html
3.2 Crore,10,Marla,Islamabad,,House,Bathrooms,Servant Quarters,2023,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_tower_4_flat_for_sale-51952061-21450-1.html
2.85 Crore,10,Marla,Islamabad,,House,Bathrooms,Servant Quarters,,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_tower_4_flat_for_sale-51952056-21450-1.html
2.9 Crore,12,Marla,Islamabad,,House,Bathrooms,Servant Quarters,,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_tower_flat_for_sale-51952052-21450-1.html
3 Crore,10,Marla,Islamabad,,House,3,Servant Quarters,,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_flat_for_sale-51952049-21450-1.html
3.6 Crore,6,Marla,Islamabad,Park View City,House,,,,,,,,,https://www.zameen.com/Property/islamabad_park_view_city_6_malra_corner_house_for_sale_near_to_masjid_park_and_water_filtration_plant-54278520-10933-1.html
2.8 Crore,12,Marla,Islamabad,,House,Bathrooms,Servant Quarters,2023,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_tower_4_flat_for_sale-51952067-21450-1.html
3.25 Crore,10,Marla,Islamabad,,House,Bathrooms,Servant Quarters,2023,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_tower_4_flat_for_sale-51952064-21450-1.html
4 Crore,10,Marla,Islamabad,Bani Gala,House,8,Lounge or Sitting Room,2022,0,,,,,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_double_storey_house_8_bedrooms-53665026-340-1.html
2.85 Crore,10,Marla,Islamabad,,House,3,Servant Quarters,2023,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_defence_phase_5_askari_tower_3_askari_tower_3_flat_for_sale-45686980-17434-1.html
3.3 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2025,1,1,1,2,,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f_5_marla_luxury_designer_house_for_sale_in_sector_f_dha_phase_5_islamabad-54361536-8836-1.html
1.25 Crore,6,Marla,Islamabad,,House,Bathrooms: 3,Servant Quarters: 1,2020,2,1,1,1,,https://www.zameen.com/Property/al_ghurair_giga_al-ghurair_giga_-_block_3_two_bedrooms_plus_drawing_tv_lounge_flat_available_for_sale-50664811-15129-1.html
3.25 Crore,7.3,Marla,Islamabad,,House,2,Servant Quarters: 1,2025,2,1,1,1,,https://www.zameen.com/Property/gulberg_greens_skypark_one_investor_price_2bad_luxury_apartment_available_for_sale_skyprk1_gulberg_green_islamabad-54086460-15266-1.html
11.7 Crore,10,Marla,Islamabad,D-12,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,,2,,https://www.zameen.com/Property/islamabad_d-12_prime_location_house_for_sale_in_d-12-54322160-160-1.html
19 Crore,14,Marla,Islamabad,D-12,House,Bathrooms: 9,Servant Quarters: 1,2026,3,1,,3,,https://www.zameen.com/Property/islamabad_d-12_prime_location_14_marla_house_in_d-12_for_sale_at_good_location-54322163-160-1.html
4.3 Crore,8,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_to_sale_you_can_find_spacious_house_in_mpchs_-_block_e-54265578-3120-1.html
20 Crore,5,Kanal,Islamabad,,House,Bathrooms: 12,Servant Quarters: 2,5436,Double Glazed Windows,2,4,3,,https://www.zameen.com/Property/gulberg_greens_gulberg_greens_-_executive_block_hot_investor_deal_5_kanal_fully_built_designer_farmhouse_for_sale-54366666-10386-1.html
4.95 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 5,Servant Quarters: 1,2025,Double Glazed Windows,1,,2,,https://www.zameen.com/Property/islamabad_top_city_1_main_boulevard_house_for_sale-53705640-1383-1.html
5.75 Crore,5,Marla,Islamabad,,House,,,,1,1,1,2,,https://www.zameen.com/Property/g_14_g-14_4_looking_for_a_house_in_g-14_4-54148014-3346-1.html
4.9 Crore,10,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/zaraj_housing_scheme_zaraj_scheme_-_sector_c_prominently-located_prime_location_house_available_in_zaraj_scheme_-_sector_c_for_sale-54239858-3512-1.html
5 Crore,10,Marla,Islamabad,,House,Bathrooms: 2,Drawing Room,,,,,1,,https://www.zameen.com/Property/zaraj_housing_scheme_zaraj_scheme_-_sector_c_prominently-located_house_available_in_zaraj_scheme_-_sector_c_for_sale-53877547-3512-1.html
2.05 Crore,5,Marla,Islamabad,H-13,House,4,Servant Quarters: 1,2022,1,1,1,2,,https://www.zameen.com/Property/islamabad_h-13_25_50_5_marla_double_storey_house_for_sale-53843852-1039-1.html
8.68 Crore,14,Marla,Islamabad,B-17,House,Bathrooms: 7,Servant Quarters: 1,2026,3,1,1,2,,https://www.zameen.com/Property/islamabad_b-17_14-_marla_house_for_sale-54288344-616-1.html
10 Crore,1,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters: 2,2026,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_designer_house_for_sale_in_dha_phase_2_islamabad-54353302-339-1.html
16.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2026,2,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_spanish_style_1_kanal_luxury_house_with_basement_for_sale_in_dha_phase_2_islamabad-54314012-339-1.html
4.6 Crore,5.4,Marla,Islamabad,,House,2,Servant Quarters: 1,2010,1,1,1,1,,https://www.zameen.com/Property/f_10_silver_oaks_apartments_silver_oaks_f-10_2_bedroom_compact_fully_furnished_apartment_available_for_sale_beautiful_location-54293538-11308-1.html
5.5 Crore,8.7,Marla,Islamabad,,House,3,Servant Quarters: 1,2013,Lobby in Building,1,Steam Room,Study Room,,https://www.zameen.com/Property/g_11_3_warda_hamna_residencia_3_warda_hamna_fully_furnished_duplex_3bed_front_facing_apartment_available_for_sale-53143599-11863-1.html
5.5 Crore,12.2,Marla,Islamabad,,House,3,Servant Quarters,2011,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/f_11_f-11_markaz_f-11_luxury_fully_furnished_renovated_3-bed_apartment_available_for_sale-54194508-3286-1.html
3.1 Crore,7.8,Marla,Islamabad,,House,2,Servant Quarters: 1,2011,Lobby in Building,1,,Steam Room,,https://www.zameen.com/Property/f_11_f-11_markaz_f-11_investor_price_2_bed_apartment_available_for_sale-52952353-3286-1.html
4.15 Crore,6,Marla,Islamabad,I-10,House,,,,2,,,,,https://www.zameen.com/Property/islamabad_i-10_buy_a_centrally_located_6_marla_house_in_i-10-54293659-173-1.html
3.45 Crore,7,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,1,2,6,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_7_marla_double_storey_non_lop_house_for_sale_in_jinnah_garden_islamabad-54192205-1420-1.html
3.65 Crore,7,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_7_marla_double_storey_house_for_sale_in_jinnah_garden_islamabad-54211260-1420-1.html
3 Crore,5,Marla,Islamabad,National Police Foundation O-9,House,Bathrooms: 6,Servant Quarters: 1,2026,1,1,1,2,,https://www.zameen.com/Property/islamabad_national_police_foundation_o-9_brand_new_5_marla_double_storey_house_for_sale_in_national_police_foundation-54190510-331-1.html
5.5 Crore,10,Marla,Islamabad,,House,Bathrooms: 8,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_10_marla_double_storey_house_for_sale_in_jinnah_garden_islamabad-54191650-1420-1.html
6.75 Crore,12,Marla,Islamabad,,House,Bathrooms: 8,Servant Quarters: 1,2026,3,1,1,2,,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_12_marla_double_storey_house_for_sale_in_jinnah_garden_islamabad-54190551-1420-1.html
5.8 Crore,11,Marla,Islamabad,Soan Garden,House,,,,2,2,,,,https://www.zameen.com/Property/islamabad_soan_garden_brand_new_11_marla_corner_double_story_house_for_sale_in_soan_garden_islamabad-54192333-338-1.html
7.75 Crore,1,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters: 1,2026,3,1,1,2,,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_kanal_double_story_house_for_sale_in_jinnah_garden_islamabad-54196653-1420-1.html
7 Crore,12,Marla,Islamabad,,House,Bathrooms: 8,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_12_marla_double_story_house_for_sale_in_jinnah_garden_islamabad-54201954-1420-1.html
12.95 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,1,1,,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_d_1_kanal_brand_new_luxury_house_for_sale_in_dha_phase_2_islamabad-54305674-3199-1.html
4.25 Crore,6.6,Marla,Islamabad,,House,2,Servant Quarters: 1,2010,Lobby in Building,1,1,1,,https://www.zameen.com/Property/gt_road_zeta-1_mall_income-generating_2_bed_airbnb_apartment_for_sale_fully_furnished-53732928-16699-1.html
2.6 Crore,4.2,Marla,Islamabad,,House,1,Servant Quarters: 2,2000,Lobby in Building,2,2,1,,https://www.zameen.com/Property/gt_road_zeta-1_mall_fully_furnished_1_bed_airbnb_apartment_for_sale_high_rental_income-53732882-16699-1.html
1.4 Crore,7.5,Marla,Islamabad,,House,3,Servant Quarters: 1,2024,1,1,1,1,,https://www.zameen.com/Property/bahria_enclave_the_galleria_the_galleria_3_bed_apartment_1695_square_feet_brand_new_on_3rd_floor_sun_facing_available_for_sale-53557692-10002-1.html
6.5 Crore,11,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,Double Glazed Windows,1,Steam Room,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_beautiful_corner_house_for_sale_11_marla_sector_c1_bahria_enclave-54198973-11987-1.html
5.5 Crore,12.9,Marla,Islamabad,"B-17, Islamabad7612.9 Marla",House,7,Servant Quarters: 1,2026,3,2,,2,1,https://www.zameen.com/Property/islamabad_b-17_extremely_beautiful_house_for_sale_with_underground_huge_water-54091077-616-1.html
6.65 Crore,14.2,Marla,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,2026,4,1,1,2,,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_brind_new_double_storey_house_for_sale_cda_approved-54240438-1421-1.html
4.24 Crore,9.3,Marla,Islamabad,,House,3,3,2022,1,,1,1,,https://www.zameen.com/Property/g_11_3_the_arch_the_arch_3bed_apartment_available_for_sale-54340361-12793-1.html
60 Lakh,3.2,Marla,Islamabad,"I-12, Islamabad223.2 Marla",House,2,2,2026,1,1,1,1,,https://www.zameen.com/Property/islamabad_i-12_i-12_cda_sector_pha_e-type_flat_for_sale-54353540-1418-1.html
59 Lakh,2.4,Marla,Islamabad,"Top City 1, IslamabadInstallmentsPKR69 Thousand/month112.4 Marla",House,1,Drawing Room,2026,Double Glazed Windows,,,,,https://www.zameen.com/Property/islamabad_top_city_1_550_square_feet_1_bed_apartment_available_for_sale_on_4_5_years_easy_instalment_plan-54309935-1383-1.html
12.8 Crore,1,Kanal,Islamabad,,House,,,2026,2,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_luxury_house_1_kanal_for_sale_in_dha_phase_2_islamabad-54323972-339-1.html
3.85 Crore,8,Marla,Islamabad,,House,5,Servant Quarters: 1,2026,Double Glazed Windows,1,2,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_brand_new_8_marla_luxury_house_for_sale_in_sector_b_bahria_enclave_islamabad_5_bed_a_construction_prime_location-54282584-11972-1.html
3.25 Crore,8,Marla,Islamabad,,House,2,Servant Quarters: 3,2010,Lobby in Building,3,2,Study Room,,https://www.zameen.com/Property/f_11_f-11_markaz_f-11_abu_dhabi_renovated_2bed_apartment_available_for_sale-54154741-3286-1.html
3 Crore,7.3,Marla,Islamabad,,House,2,Servant Quarters: 1,2023,Lobby in Building,1,Steam Room,Study Room,,https://www.zameen.com/Property/g_11_3_the_arch_g-11_3_the_arch_brand_new_investor_price_2_bed_apartment_for_sale-52553617-12793-1.html
2.35 Crore,5.6,Marla,Islamabad,,House,1,Drawing Room,2011,Lobby in Building,,Steam Room,1,,https://www.zameen.com/Property/f_11_f-11_markaz_f-11_one_bedroom_apartment_available_for_sale-54150207-3286-1.html
6 Crore,5,Marla,Islamabad,,House,4,Servant Quarters,2026,1,Drawing Room,Steam Room,2,,https://www.zameen.com/Property/g_11_g-11_2_g-11_2_brand_new_double_story_5marla_house_for_sale-54356034-3331-1.html
4.6 Crore,4,Marla,Islamabad,,House,Bathrooms: 5,Drawing Room,2026,1,,Lounge or Sitting Room,2,,https://www.zameen.com/Property/g_11_g-11_2_g-11_brand_new_4marla_double_house_for_sale-54346233-3331-1.html
7.5 Crore,8,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_8_marla_brandnew_modern_house_for_sale_in_g-13_islamabad-54343757-330-1.html
5.5 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,1,1,,https://www.zameen.com/Property/islamabad_top_city_1_luxury_10_marla_brand_new_house_for_sale-54317476-1383-1.html
1.5 Crore,6.2,Marla,Islamabad,"Top City 1, Islamabad226.2 Marla",House,Bathrooms: 2,Servant Quarters: 1,2024,1,1,4,24,,https://www.zameen.com/Property/islamabad_top_city_1_luxury_2-bed_apartment_for_sale_in_time_square_residence-54317344-1383-1.html
35 Crore,1.3,Kanal,Islamabad,"F-7, Islamabad551.3 Kanal",House,Bathrooms: 3,Servant Quarters: 1,,1,1,1,1,,https://www.zameen.com/Property/islamabad_f-7_beautiful_house_for_sale_in_f-7-54317652-165-1.html
22.5 Crore,1,Kanal,Islamabad,D-12,House,Bathrooms: 6,Servant Quarters: 2,2024,4,2,1,3,,https://www.zameen.com/Property/islamabad_d-12_prime_location_1_kanal_house_in_d-12_for_sale-54369735-160-1.html
28.5 Crore,1,Kanal,Islamabad,D-12,House,Bathrooms: 7,Servant Quarters: 1,2025,6,1,1,2,,https://www.zameen.com/Property/islamabad_d-12_prime_location_1_kanal_house_in_d-12-54369734-160-1.html
8 Crore,1,Kanal,Islamabad,,House,7,Servant Quarters: 2,2016,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_7_bed_triple_unit_house_available_for_sale_in_dha_1_sec_c-54369679-376-1.html
4.85 Crore,8,Marla,Islamabad,,House,6,Servant Quarters: 1,2022,1,1,3,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_8_marla_6_bed_triple_unit_house_available_for_sale_in_dha_1-54369674-376-1.html
13 Crore,14.2,Marla,Islamabad,,House,Bathrooms: 8,Servant Quarters: 2,2024,Double Glazed Windows,2,Steam Room,2,,https://www.zameen.com/Property/i_8_i-8_3_buying_a_house_in_islamabad-51239698-3443-1.html
14.5 Crore,14,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2025,3,1,1,1,,https://www.zameen.com/Property/i_8_i-8_3_house_in_i-8_3_sized_14_marla_is_available-53877876-3443-1.html
25 Crore,1.2,Kanal,Islamabad,,House,Bathrooms: 9,Servant Quarters: 1,2026,4,1,,2,,https://www.zameen.com/Property/i_8_i-8_2_new_house_with_basement_for_sale-54365410-3442-1.html
9.5 Crore,11.1,Marla,Islamabad,"Diplomatic Enclave, Islamabad2211.1 Marla",House,Bathrooms: 2,Dining Room,,1,,1,1,,https://www.zameen.com/Property/islamabad_diplomatic_enclave_ultra-luxury_2500_sq_ft_fully_furnished_apartment_with_servant_quarter_diplomatic_enclave_islamabad-54334196-429-1.html
55 Crore,2,Kanal,Islamabad,,House,Bathrooms: 3,Servant Quarters: 1,2023,5,1,1,1,,https://www.zameen.com/Property/f_6_f-6_3_investor_price_house_available_for_sale_in_f6_3-50510847-3301-1.html
4.15 Crore,10,Marla,Islamabad,,House,Bathrooms: 9,Servant Quarters: 1,,,1,,2,1,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_d_brand_new_spanish_style_house_available-54368390-3494-1.html
2.15 Crore,11.2,Marla,Islamabad,,House,3,Servant Quarters: 1,2025,2,1,,915,,https://www.zameen.com/Property/bahria_town_bahria_enclave_bahria_enclave_islamabad_sector_h_the_galleria_3_bed_corner_luxury_apartment_for_sale-54367875-1705-1.html
6.8 Crore,1,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters,2024,Double Glazed Windows,Drawing Room,Lounge or Sitting Room,Study Room,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_b_premium_1_kanal_luxury_designer_house_with_basement_main_lawn-54364118-3117-1.html
7.9 Crore,10,Marla,Islamabad,,House,5,Servant Quarters: 1,,,1,1,2,,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_e_10_marla_single_unit_house_for_sale_in_dha_2_islamabad_on_double_road_second_to_corner-54069877-3200-1.html
3.9 Crore,5,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f_house_5_marla_sector_f_dha_5_islamabad-54281666-8836-1.html
3.55 Crore,10,Marla,Islamabad,F-17,House,Bathrooms: 7,Servant Quarters: 1,2025,2,1,1,2,,https://www.zameen.com/Property/islamabad_f-17_10_marla_new_house_for_sale_f-17_islamabad_all_facility_available_cda_pproved_sector-53453761-335-1.html
17 Crore,1,Kanal,Islamabad,,House,Bathrooms: 9,Servant Quarters: 2,2026,3,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_triple_story_designer_house_for_sale_in_dha_phase_2_sector_f_islamabad-54331645-339-1.html
11.35 Crore,1,Kanal,Islamabad,,House,Bathrooms: 4,Drawing Room,2025,6,,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_deal_directly_with_the_owner_for_a_smooth_and_cost-effective_purchase_house_for_sale-54000971-339-1.html
9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2025,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_prime_location_1_kanal_luxurious_house_for_sale_at_dha_2-54238688-339-1.html
18.43 Crore,1,Kanal,Islamabad,,House,7,Servant Quarters,,Double Glazed Windows,Drawing Room,1,2,,https://www.zameen.com/Property/f_11_f-11_3_1_kanal_triple-storey_house_for_sale_in_f-11_3_islamabad_7_bed_prime_rental_income-52779829-3284-1.html
6.37 Crore,15.5,Marla,Islamabad,,House,,,,2,,,,,https://www.zameen.com/Property/kashmir_highway_eighteen_half_kanal_villa_eighteen_islamabad_luxury_living_redefined-53335563-12602-1.html
3.85 Crore,8.9,Marla,Islamabad,,House,3,,2021,1,,,,,https://www.zameen.com/Property/g_11_3_warda_hamna_residencia_3_3_bed_luxury_apartment_top_floor_corner_is_available_for_sale_at_warda_hamna_residencia_iii_g-11_3_islamabad-53549740-11863-1.html
6.65 Crore,8,Marla,Islamabad,G-13,House,5,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_brand_new_luxury_house_for_sale_a_newly_build_double_storey_size_30_60_g-13_islamabad-54284421-330-1.html
3.25 Crore,4,Marla,Islamabad,G-13,House,4,2,,,,,2,,https://www.zameen.com/Property/islamabad_g-13_used_house_for_sale_25_40_g-13_4-54284431-330-1.html
4.45 Crore,4,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_brand_new_luxury_house_for_sale_prime_location_g-13_4_25_40_beautifully_double_storey_house_available_for_sale-54284479-330-1.html
6.7 Crore,8,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_30_60_brand_new_luxury_house_for_sale_in_g-13_islamabad-54293692-330-1.html
14.75 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2026,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_victorian_style_house_for_sale-53041861-339-1.html
9.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2023,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_slightly_used_double_unit_house_with_solar_installed_at_reasonable_price-53041854-339-1.html
13.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2025,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_single_unit_house-53041848-339-1.html
12.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2024,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_designer_house_for_sale-52417300-339-1.html
80 Crore,2,Kanal,Islamabad,,House,Bathrooms: 5,Servant Quarters: 2,2024,Double Glazed Windows,2,2,2,,https://www.zameen.com/Property/f_6_f-6_2_beautiful_house_of_a_prime_location_available_for_sale_in_f6_3-52276600-3300-1.html
1.3,5,Kanal,Islamabad,F-6,House,Bathrooms: 12,Servant Quarters: 3,2020,8,3,1,2,,https://www.zameen.com/Property/islamabad_f-6_beautiful_house_available_for_sale_in_f6-52276724-164-1.html
28 Crore,1,Kanal,Islamabad,F-7,House,Bathrooms: 5,Servant Quarters: 2,,4,2,2,2,,https://www.zameen.com/Property/islamabad_f-7_investor_price_house_available_for_sale_in_f7-54145651-165-1.html
48 Crore,1.3,Kanal,Islamabad,"F-7, Islamabad661.3 Kanal",House,Bathrooms: 6,Servant Quarters: 2,2025,5,2,2,3,,https://www.zameen.com/Property/islamabad_f-7_brand_new_house_available_for_sale_in_f7-52498240-165-1.html
80 Crore,4,Kanal,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2025,1,1,,1,,https://www.zameen.com/Property/f_7_f-7_3_investor_price_house_available_for_sale_f7-52573056-3309-1.html
4.5 Crore,4,Marla,Islamabad,D-12,House,5,Servant Quarters: 1,2025,1,1,1,2,,https://www.zameen.com/Property/islamabad_d-12_brand_new_house_for_sale-54349178-160-1.html
11.6 Crore,11.7,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2024,2,1,1,1,,https://www.zameen.com/Property/f_10_sukh_chayn_residence_brand_new_luxury_corner_apartment-51958265-13589-1.html
85 Crore,10,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters: 4,3700,Double Glazed Windows,4,Steam Room,2,,https://www.zameen.com/Property/gulberg_gulberg_greens_10_kanal_brand_new_luxury_palace_for_sale_in_gulberg_green_islamabad-51833940-8312-1.html
16.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,,Flooring,2,Other Rooms,2,,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_j_kanal_luxury_furnished_house_for_sale_in_dha_phase_2_islamabad-53485345-17389-1.html
5.5 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Drawing Room,,,,,2,,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_spacious_prime_location_house_is_available_for_sale_in_ideal_location_of_jinnah_gardens_phase_1-54140570-1421-1.html
6.25 Crore,5,Marla,Islamabad,D-12,House,4,Servant Quarters: 1,,,1,1,1,,https://www.zameen.com/Property/islamabad_d-12_5_marla_brand_new_house_first_entry-54368122-160-1.html
4.15 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2024,2,1,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_double_storey_house_for_sale-54368303-1383-1.html
44 Lakh,2.7,Marla,Islamabad,"Country Club Apartments, Islamabad - Murree Expressway112.7 Marla",House,,,2025,RoomsOther Rooms,,,,,https://www.zameen.com/Property/islamabad_murree_expressway_country_club_apartments_the_perfect_weekend_escape_low-maintenance_1-bed_at_country_club_apartments-53682449-9681-1.html
78 Lakh,3.1,Marla,Islamabad,,House,Bathrooms: 1,Servant Quarters: 2,2025,Double Glazed Windows,2,,1,,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_d_markaz_modern_apartment_for_sale_in_elanza_mall_gulberg_d_markaz-54081244-14966-1.html
